Sale_ID,Brand,Region,Sales_Channel,Payment_Method,Date,Unit_Price,Warranty_Years,Software_Update
S0016048,OnePlus Nord,South America,Online,Credit Card,14-08-2023,57000,2,4
S0016050,Xiaomi (India),Africa,Retail Store,UPI,24-04-2022,66000,3,4
S0016052,OnePlus Nord,South America,Online,Credit Card,21-03-2022,76000,3,5
S0016054,Apple iPhone,North America,Retail Store,UPI,14-06-2023,57000,2,4
S0016056,OnePlus Nord,Europe,Retail Store,UPI,09-08-2022,86000,3,6
S0016059,Xiaomi (India),North America,Retail Store,UPI,08-01-2023,65000,3,4
S0016061,Realme,North America,Retail Store,UPI,29-10-2022,40000,2,2
S0016062,Xiaomi (India),South America,Wholesale,UPI,25-01-2023,20000,1,1
S0016063,Xiaomi (India),South America,Retail Store,UPI,02-11-2022,65000,3,4
S0016064,OnePlus Nord,Africa,Retail Store,UPI,25-02-2023,76000,3,5
S0016066,Apple iPhone,Asia,Wholesale,Net Banking,28-06-2023,72000,3,5
S0016067,Realme,South America,Retail Store,UPI,01-09-2023,11000,1,0
S0016068,OnePlus Nord,Africa,Retail Store,UPI,06-12-2023,64000,3,4
S0016069,Realme,Europe,Online,Credit Card,16-10-2022,27000,1,2
S0016070,Apple iPhone,North America,Retail Store,UPI,29-05-2023,40000,2,2
S0016071,Samsung Galaxy,Europe,Retail Store,UPI,05-07-2022,24000,1,1
S0016073,Apple iPhone,North America,Retail Store,UPI,06-11-2023,48000,2,3
S0016074,Realme,Africa,Online,Credit Card,21-10-2022,60000,3,4
S0016075,OnePlus Nord,Asia,Retail Store,UPI,17-08-2023,32000,2,2
S0016076,OnePlus Nord,Europe,Online,Credit Card,03-01-2023,32000,2,2
S0016078,Xiaomi (India),South America,Wholesale,Credit Card,01-03-2022,24000,1,1
S0016079,Apple iPhone,Asia,Retail Store,UPI,29-07-2023,85000,3,5
S0016080,OnePlus Nord,Asia,Retail Store,Debit Card,04-09-2023,54000,2,3
S0016082,Samsung Galaxy,Europe,Online,Credit Card,27-10-2023,66000,3,4
S0016083,Samsung Galaxy,Africa,Retail Store,UPI,21-02-2023,57000,2,4
S0016084,Apple iPhone,North America,Retail Store,UPI,07-02-2022,27000,1,2
S0016085,Samsung Galaxy,Asia,Retail Store,UPI,12-11-2022,64000,3,4
S0016086,Apple iPhone,Europe,Retail Store,UPI,16-02-2023,54000,2,3
S0016088,OnePlus Nord,Europe,Retail Store,UPI,09-08-2023,76000,3,5
S0016089,Apple iPhone,North America,Retail Store,UPI,11-09-2022,64000,3,4
S0016093,OnePlus Nord,Europe,Online,Credit Card,21-04-2023,29000,1,2
S0016095,Samsung Galaxy,North America,Online,Credit Card,24-06-2023,11000,1,0
S0016096,Apple iPhone,North America,Online,Credit Card,12-09-2022,40000,2,2
S0016098,OnePlus Nord,Africa,Retail Store,UPI,03-07-2022,39000,2,2
S0016100,Samsung Galaxy,Europe,Retail Store,UPI,21-10-2022,76000,3,5
S0016101,OnePlus Nord,Asia,Online,Credit Card,03-03-2022,11000,1,0
S0016102,Realme,South America,Retail Store,UPI,07-06-2022,42000,2,3
S0016103,Apple iPhone,Europe,Wholesale,Debit Card,11-04-2022,29000,1,2
S0016104,Samsung Galaxy,South America,Online,Credit Card,31-03-2023,86000,3,6
S0016106,OnePlus Nord,North America,Retail Store,UPI,22-04-2023,28000,1,2
S0016107,Xiaomi (India),North America,Retail Store,UPI,20-02-2022,42000,2,3
S0016109,OnePlus Nord,Africa,Retail Store,UPI,04-11-2022,39000,2,2
S0016110,Realme,North America,Retail Store,UPI,24-08-2022,64000,3,4
S0016113,Apple iPhone,North America,Wholesale,Cash,07-03-2022,86000,3,6
S0016114,Apple iPhone,Africa,Retail Store,Debit Card,09-10-2023,43000,2,3
S0016115,Realme,Asia,Retail Store,UPI,30-03-2022,28000,1,2
S0016117,OnePlus Nord,Africa,Wholesale,Cash,03-11-2022,40000,2,2
S0016118,OnePlus Nord,North America,Retail Store,UPI,27-03-2022,84000,3,5
S0016119,Samsung Galaxy,North America,Retail Store,UPI,21-09-2023,84000,3,5
S0016120,Realme,Africa,Retail Store,UPI,19-08-2022,42000,2,3
S0016123,OnePlus Nord,North America,Wholesale,UPI,24-08-2022,72000,3,5
S0016124,OnePlus Nord,South America,Online,Credit Card,28-01-2023,20000,1,1
S0016125,Apple iPhone,Europe,Online,Credit Card,02-10-2022,27000,1,2
S0016126,OnePlus Nord,Asia,Retail Store,UPI,09-07-2022,28000,1,2
S0016127,OnePlus Nord,Europe,Retail Store,UPI,11-06-2023,48000,2,3
S0016128,Realme,Asia,Online,Net Banking,04-01-2023,70000,3,4
S0016131,Realme,North America,Retail Store,UPI,01-09-2022,33000,2,2
S0016133,Apple iPhone,Europe,Online,UPI,27-10-2023,43000,2,3
S0016134,Xiaomi (India),Europe,Online,UPI,10-05-2022,85000,3,5
S0016139,OnePlus Nord,Africa,Retail Store,UPI,02-02-2023,74000,3,5
S0016140,Samsung Galaxy,Asia,Online,Debit Card,26-12-2023,43000,2,3
S0016145,Apple iPhone,Africa,Retail Store,Credit Card,15-09-2022,12000,1,0
S0016147,OnePlus Nord,South America,Retail Store,UPI,20-06-2022,32000,2,2
S0016151,Realme,South America,Online,Credit Card,03-04-2023,12000,1,0
S0016152,Samsung Galaxy,South America,Online,Credit Card,23-12-2023,55000,2,3
S0016153,Samsung Galaxy,Europe,Retail Store,UPI,27-11-2022,85000,3,5
S0016154,OnePlus Nord,Europe,Retail Store,UPI,29-03-2023,32000,2,2
S0016155,Samsung Galaxy,Europe,Retail Store,UPI,08-05-2023,86000,3,6
S0016156,OnePlus Nord,South America,Wholesale,UPI,10-01-2022,72000,3,5
S0016159,Xiaomi (India),Asia,Retail Store,UPI,11-11-2022,76000,3,5
S0016160,Xiaomi (India),Europe,Retail Store,UPI,09-02-2023,64000,3,4
S0016161,Realme,South America,Retail Store,UPI,24-11-2022,55000,2,3
S0016162,Xiaomi (India),Africa,Retail Store,UPI,18-11-2022,48000,2,3
S0016167,Realme,North America,Retail Store,UPI,01-02-2022,48000,2,3
S0016168,Apple iPhone,Asia,Retail Store,UPI,03-11-2023,20000,1,1
S0016169,Xiaomi (India),North America,Retail Store,UPI,11-09-2023,79000,3,5
S0016170,Samsung Galaxy,Asia,Online,Credit Card,29-03-2022,66000,3,4
S0016171,Realme,Europe,Online,Credit Card,21-12-2023,86000,3,6
S0016173,OnePlus Nord,Asia,Retail Store,UPI,19-11-2023,12000,1,0
S0016176,Realme,South America,Retail Store,UPI,04-10-2023,11000,1,0
S0016177,Realme,North America,Retail Store,Credit Card,14-08-2022,39000,2,2
S0016178,Apple iPhone,Europe,Online,Credit Card,03-06-2022,72000,3,5
S0016179,Realme,Europe,Online,Credit Card,23-10-2022,74000,3,5
S0016180,OnePlus Nord,South America,Retail Store,Cash,03-01-2023,79000,3,5
S0016181,Apple iPhone,North America,Retail Store,UPI,13-03-2022,24000,1,1
S0016183,Realme,Europe,Online,Credit Card,01-02-2023,72000,3,5
S0016184,Xiaomi (India),Asia,Retail Store,UPI,22-05-2023,32000,2,2
S0016188,Realme,Africa,Retail Store,UPI,16-08-2023,85000,3,5
S0016189,Samsung Galaxy,Asia,Online,Credit Card,09-04-2022,84000,3,5
S0016192,Samsung Galaxy,Asia,Retail Store,UPI,22-12-2022,84000,3,5
S0016193,Apple iPhone,North America,Retail Store,UPI,27-07-2023,85000,3,5
S0016194,Apple iPhone,Asia,Online,Credit Card,18-07-2022,85000,3,5
S0016197,OnePlus Nord,Africa,Retail Store,UPI,17-06-2023,66000,3,4
S0016199,OnePlus Nord,North America,Retail Store,UPI,14-04-2022,43000,2,3
S0016200,Xiaomi (India),Africa,Online,Credit Card,03-04-2022,86000,3,6
S0016201,Xiaomi (India),Europe,Retail Store,UPI,16-07-2023,37000,2,2
S0016202,Apple iPhone,North America,Online,Credit Card,23-12-2022,76000,3,5
S0016203,Realme,Europe,Retail Store,UPI,27-01-2023,43000,2,3
S0016205,Xiaomi (India),South America,Online,Credit Card,23-01-2022,48000,2,3
S0016206,Xiaomi (India),South America,Retail Store,UPI,18-06-2023,57000,2,4
S0016209,Apple iPhone,North America,Retail Store,UPI,20-09-2023,57000,2,4
S0016212,OnePlus Nord,North America,Wholesale,Net Banking,08-09-2022,39000,2,2
S0016217,Samsung Galaxy,South America,Online,Credit Card,05-04-2023,12000,1,0
S0016220,Apple iPhone,Europe,Retail Store,UPI,14-03-2022,43000,2,3
S0016221,OnePlus Nord,South America,Retail Store,Debit Card,27-11-2022,12000,1,0
S0016225,Apple iPhone,North America,Retail Store,Debit Card,02-11-2022,40000,2,2
S0016227,Samsung Galaxy,Europe,Retail Store,UPI,12-06-2023,27000,1,2
S0016228,Apple iPhone,South America,Online,Credit Card,08-02-2022,79000,3,5
S0016230,Apple iPhone,Europe,Online,Credit Card,11-11-2022,32000,2,2
S0016233,Apple iPhone,Europe,Retail Store,UPI,22-12-2023,54000,2,3
S0016234,OnePlus Nord,North America,Retail Store,UPI,26-06-2023,20000,1,1
S0016239,Apple iPhone,Africa,Retail Store,UPI,17-12-2023,66000,3,4
S0016240,OnePlus Nord,Europe,Retail Store,Net Banking,11-01-2022,70000,3,4
S0016242,Samsung Galaxy,Asia,Online,Credit Card,01-10-2023,12000,1,0
S0016243,Realme,South America,Retail Store,UPI,16-07-2022,76000,3,5
S0016244,OnePlus Nord,Asia,Online,Credit Card,30-12-2023,65000,3,4
S0016246,Realme,Asia,Retail Store,UPI,19-06-2022,64000,3,4
